"BehaviorSpace results (NetLogo 6.2.2)"
"M0poursimu.nlogo"
"calibration-surveillant"
"08/01/2022 10:09:37:146 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","engagés-initiaux","coordination-RNA","nombre-bergers","proba-discu","S-pop","RNA","proba-denonce","nb-champs-visités","fréquence-réu","q-présence-brousse","nb-proTG-max","nb-coupeurs","S-repreZ","tps-au-champ","participants","malus-nb-chps","[step]","%-under-tree","coupeurs-attrapes","nb-arbres","MoyN-interet-RNA","nb-engages","delta-mil"
"153","4","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.01","5460","42.39","150","486","96.10107526881983","46","1.903040000020701"
"154","4","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.01","5460","37.54","137","393","86.11368421052813","50","-30.730339999963327"
"156","4","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.11","5460","36.8","150","390","88.67835051546722","58","-1.9092999999913445"
"157","4","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.11","5460","42.29","150","498","84.37204301075622","70","67.77701999998098"
"158","4","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.11","5460","38.89","141","389","62.0173913043491","41","52.058160000050705"
"159","4","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.11","5460","40.87","150","474","88.48888888889199","66","23.687840000026334"
"160","4","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.11","5460","41.49","150","494","100.8043956044006","56","-98.11298000000242"
"162","4","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.21","5460","39.31","141","430","68.88314606741768","53","4.062740000026679"
"161","4","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.21","5460","37.54","142","406","47.60430107527034","51","-151.80499999996974"
"163","4","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.21","5460","37.51","150","398","45.26595744681095","35","-287.48423999998124"
