"BehaviorSpace results (NetLogo 6.2.2)"
"M0poursimu.nlogo"
"calibration-surveillance-déléguée"
"08/03/2022 09:29:14:545 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","coordination-RNA","engagés-initiaux","nombre-bergers","proba-discu","S-pop","RNA","proba-denonce","fréquence-réu","q-présence-brousse","S-repreZ","nb-coupeurs","nb-proTG-max","malus-nb-chps","tps-au-champ","participants","[step]","coupeurs-attrapes","nb-arbres","nb-engages","nb-coupe"
"207","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","150","514","67","119"
"208","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","150","418","83","147"
"209","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","150","512","86","131"
"210","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","150","417","58","156"
"212","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","150","404","61","192"
"211","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","144","397","45","201"
"214","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","150","400","60","225"
"213","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","94","370","0","145"
"216","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","146","357","32","226"
"215","11","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","150","359","39","213"
